X,Y,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_URL,SE_ANNO_CAD_DATA,GLOBALID,GIS_ID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED
-77.03102012,38.99395718,Silver Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,,{E2C8A3F4-D14C-4560-B208-2B20E3E916B2},MetroStnFullPt_11,11,,,,
-77.0941315,38.98440146,Bethesda,https://www.wmata.com/rider-guide/stations/bethesda.cfm,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A09|Bethesda,,{BB78FDF2-307A-4455-B989-7E1022BF6B5B},MetroStnFullPt_12,12,,,,
-76.92812724,38.97864144,College Park-U of Md,https://www.wmata.com/rider-guide/stations/college-park.cfm,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,,{30237246-424F-4902-BEC0-73AF149BF312},MetroStnFullPt_13,13,,,,
-77.01817899,38.97608633,Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,,{E4053E09-BAE7-430B-BC36-51844F0CDA64},MetroStnFullPt_14,14,,,,
-76.95588378,38.96539325,Prince George's Plaza,https://www.wmata.com/rider-guide/stations/prince-georges-plz.cfm,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,,{548B930C-61C5-4938-A14D-0EB66658044D},MetroStnFullPt_15,15,,,,
-77.08499811,38.95949167,Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights,,{B523146C-2AA3-4300-8EBC-4321AC6BAA80},MetroStnFullPt_16,16,,,,
-76.96957895,38.95504797,West Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,,{18A5149F-DF80-49A1-B45E-CDA039512375},MetroStnFullPt_17,17,,,,
-77.00220536,38.95185457,Fort Totten,https://www.wmata.com/rider-guide/stations/fort-totten.cfm,"550 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",,{C8E0847D-DA99-47CE-B41D-5D64DB44B375},MetroStnFullPt_18,18,,,,
-77.07958963,38.94885923,Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,,{58A4BBE6-CFB0-45A3-B0DC-2B0D43F11F4C},MetroStnFullPt_19,19,,,,
-77.34006222,38.94774066,Wiehle-Reston East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,,{31D6219B-16DF-460F-A8CE-ACB85D6F036D},MetroStnFullPt_20,20,,,,
