,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
9467,131418,131418,1,0,Y,,3,1,2006,,459000.0,,,,0,219,,,,20009.0,,38.91167685,-77.02931485,040 E Old City 2,Ward 2,277,-77.02931713657165,38.91168430858712,NW,2017,0.38095554848076946,0.5387525033227852
9468,131425,131425,2,0,Y,,4,2,2006,,769000.0,,,,0,324,,,,20009.0,,38.91167685,-77.02931485,040 E Old City 2,Ward 2,277,-77.02931713657165,38.91168430858712,NW,2017,0.38095554848076946,0.5387525033227852
9469,131426,131426,1,0,Y,,3,1,2006,,545000.0,,,,0,234,,,,20009.0,,38.91167685,-77.02931485,040 E Old City 2,Ward 2,277,-77.02931713657165,38.91168430858712,NW,2017,0.38095554848076946,0.024470072993810543
9470,131455,131455,1,0,Y,,4,1,1900,,459000.0,,,,1,313,,,,20001.0,,38.91724468,-77.02738455,040 F Old City 2,Ward 1,304,-77.02738683545661,38.91725213304133,NW,2017,0.017302954550053238,0.024470072993810543
9471,131457,131457,1,1,Y,,5,1,1900,,542000.0,,,,0,313,,,,20001.0,,38.91724468,-77.02738455,040 F Old City 2,Ward 1,304,-77.02738683545661,38.91725213304133,NW,2017,0.017302954550053238,0.024470072993810543
9472,131470,131470,2,0,Y,,5,2,1900,,617000.0,,,,1,423,,,,20001.0,,38.91724468,-77.02738455,040 F Old City 2,Ward 1,304,-77.02738683545661,38.91725213304133,NW,2017,0.017302954550053238,0.024470072993810543
9473,131483,131483,2,0,Y,,4,2,1900,,587000.0,,,,1,391,,,,20001.0,,38.91724468,-77.02738455,040 F Old City 2,Ward 1,304,-77.02738683545661,38.91725213304133,NW,2017,0.017302954550053238,0.4165501324559386
9474,131500,131500,1,0,Y,,3,1,1987,,399999.0,,,,0,122,,,,20036.0,,38.90921574000001,-77.037957345,040 D Old City 2,Ward 2,181,-77.03795963946587,38.90922319103639,NW,2017,0.2945454233637487,0.4165501324559386
9475,131516,131516,1,0,Y,,3,1,1987,,425000.0,,,,0,122,,,,20036.0,,38.90921574000001,-77.037957345,040 D Old City 2,Ward 2,181,-77.03795963946587,38.90922319103639,NW,2017,0.2945454233637487,0.7665193582798262
9476,131534,131534,2,0,Y,,4,1,1927,,830000.0,,,,1,352,,,,20005.0,,38.9091668,-77.03285043,040 E Old City 2,Ward 2,210,-77.03285271861816,38.90917425471374,NW,2017,0.5420110361504259,0.7665193582798262
